,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,Təmir,price,price-cur,locations,latitude,city,longtitude,id,date,İpoteka
389,Yeni tikili,17 / 19,95 m²,3,var,var,215000,AZN,"Elmlər Akademiyası m.,Bakı Dövlət Universiteti ,Hüseyn Cavid parkı ,Texniki Universiteti ,Memarlıq və İnşaat Universiteti ,Yasamal r.",40.36942330420567,Bakı,49.82101321220402,3274304,11 Mart 2023 ,var
390,Yeni tikili,9 / 16,70 m²,2,var,,135000,AZN,"Həzi Aslanov m.,Xətai r.",40.40152503521376,Bakı,49.86131862059725,3275470,12 Fevral 2023 ,
391,Yeni tikili,16 / 17,66.4 m²,1,yoxdur,,102000,AZN,Səbail r.,40.37620916175648,Bakı,49.81580107043555,3275737,14 Mart 2023 ,
392,Yeni tikili,5 / 17,177 m²,3,var,,249000,AZN,"Təhsil Nazirliyi ,Gənclik m.,Nərimanov r.",40.41167961732732,Bakı,49.94238121798746,3275892,01 Mart 2023 ,
393,Yeni tikili,16 / 16,185 m²,4,yoxdur,,420000,AZN,"28 May m.,Neft Akademiyası ,Bakı Slavyan Universiteti ,Bakı Musiqi Akademiyası ,Nəsimi r.",40.40761426997893,Bakı,49.80840682983398,3275897,14 Mart 2023 ,
394,Köhnə tikili,1 / 5,100 m²,3,var,,130000,AZN,"Qara Qarayev m.,Nizami r.",40.39980377915154,Bakı,49.86642837524414,3275910,13 Fevral 2023 ,
395,Yeni tikili,8 / 8,70 m²,2,yoxdur,,54000,AZN,"Abşeron r.,Masazır q.",40.4862557,Bakı,49.75753099999997,3275916,14 Mart 2023 ,
396,Yeni tikili,2 / 17,165 m²,4,var,var,270000,AZN,"Neftçilər m.,Nizami r.,8-ci kilometr q.",40.39816149998397,Bakı,49.84086155891422,3275989,22 Fevral 2023 ,var
397,Yeni tikili,8 / 10,75 m²,2,yoxdur,,141000,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.39816149998397,Bakı,49.84086155891422,3275991,14 Fevral 2023 ,
398,Yeni tikili,16 / 22,135 m²,3,var,var,530000,AZN,"Tibb Universiteti ,Nəsimi r.",,Bakı,,3276107,14 Mart 2023 ,var
399,Yeni tikili,7 / 16,115 m²,3,var,var,118500,AZN,Xətai r.,40.39989258617802,Bakı,49.83979431395813,3276424,14 Mart 2023 ,var
400,Yeni tikili,11 / 19,100 m²,3,var,var,192500,AZN,"Bakı Asiya Universiteti ,8 Noyabr m.,20 Yanvar m.,Nəsimi r.",40.4053327515815,Bakı,49.81380344106,3276427,14 Mart 2023 ,var
401,Köhnə tikili,4 / 5,31 m²,2,var,,76000,AZN,"Memar Əcəmi m.,20 Yanvar m.,Nəsimi r.,5-ci mikrorayon q.",40.41022028858675,Bakı,49.81263399124146,3276559,15 Mart 2023 ,
402,Yeni tikili,10 / 18,131 m²,3,var,,250000,AZN,"20 Yanvar m.,Memar Əcəmi m.,8 Noyabr m.,Nəsimi r.",40.37533198376934,Bakı,49.81793688867354,3277072,15 Mart 2023 ,
403,Köhnə tikili,2 / 5,85 m²,3,var,,200000,AZN,"Elmlər Akademiyası m.,Hüseyn Cavid parkı ,Yasamal r.",40.39061957433251,Bakı,49.84664440155029,3277847,15 Mart 2023 ,
404,Yeni tikili,11 / 17,176 m²,4,,,395000,AZN,"Tibb Universiteti ,Nəsimi r.",40.39232579999999,Bakı,49.82880550000004,3277848,15 Mart 2023 ,
405,Köhnə tikili,3 / 5,95 m²,3,var,,147000,AZN,"Azadlıq Prospekti m.,Binəqədi r.,8-ci mikrorayon q.",40.42522206142414,Bakı,49.84295434614233,3279303,16 Mart 2023 ,
406,Yeni tikili,4 / 12,80 m²,2,var,var,142000,AZN,"İnşaatçılar m.,Yasamal r.,Yeni Yasamal q.",40.39148323945082,Bakı,49.7929829788208,3279312,16 Mart 2023 ,var
407,Yeni tikili,24 / 27,100 m²,2,var,,265000,AZN,"8 Noyabr m.,Yasamal r.",40.39203732471822,Bakı,49.84165549278259,3280675,16 Mart 2023 ,
408,Yeni tikili,11 / 16,70 m²,2,yoxdur,,55000,AZN,Xırdalan,40.37986772913215,Xırdalan,49.85825831017742,3280896,17 Mart 2023 ,
409,Köhnə tikili,2 / 9,110 m²,4,yoxdur,,180000,AZN,"Qara Qarayev m.,Nizami r.",40.39980377915154,Bakı,49.86642837524414,3280899,16 Mart 2023 ,
410,Yeni tikili,7 / 16,120 m²,4,yoxdur,,150000,AZN,Xırdalan,40.45262946399017,Xırdalan,49.74506378173828,3280904,16 Mart 2023 ,
411,Köhnə tikili,5 / 5,90 m²,4,var,var,182000,AZN,"İnşaatçılar m.,20 Yanvar m.,Yasamal r.,Yasamal q.",40.36942330420567,Bakı,49.82101321220402,3280911,Dünən 15:00 ,var
