,Kateqoriya,Mərtəbə,Sahə,Otaq sayı,Çıxarış,price,price-cur,locations,latitude,city,longitude,id,date,Təmir,İpoteka
6022,Yeni tikili,12 / 12,353 m²,4,var,580000,AZN,"Azərbaycan turizm institutu ,Gənclik m.,Nərimanov r.",40.38264366149726,Bakı,49.87209320068359,3027758,03 Noyabr 2022 ,var,var
6023,Yeni tikili,6 / 24,105 m²,3,var,200000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.39989258617802,Bakı,49.83979431395813,3027769,04 Dekabr 2022 ,var,var
6024,Yeni tikili,13 / 17,45 m²,2,yoxdur,98000,AZN,"Şərq bazarı ,Nərimanov r.",40.39989258617802,Bakı,49.83979431395813,3027770,11 Noyabr 2022 ,,
6025,Köhnə tikili,3 / 5,90 m²,3,var,168000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38578602341335,Bakı,49.8703143495468,3027771,03 Noyabr 2022 ,,
6026,Köhnə tikili,15 / 16,75 m²,3,var,110000,AZN,"20 Yanvar m.,Nəsimi r.",40.37224740672736,Bakı,49.81613159179691,3027776,03 Noyabr 2022 ,,
6027,Yeni tikili,4 / 12,140 m²,4,var,145000,AZN,"Yasamal r.,Yeni Yasamal q.",40.39414959485713,Bakı,49.7993946075439,3027777,29 Noyabr 2022 ,,
6028,Yeni tikili,5 / 16,65 m²,2,var,158000,AZN,"Şah İsmayıl Xətai m.,Xətai r.",40.38264366149726,Bakı,49.87209320068359,3027784,06 Yanvar 2023 ,,
6029,Yeni tikili,8 / 15,113 m²,3,var,294500,AZN,"Şərq bazarı ,Nərimanov r.",40.40011603328774,Bakı,49.83917601637808,3027787,03 Noyabr 2022 ,,
6030,Yeni tikili,12 / 14,95 m²,3,yoxdur,158000,AZN,Yasamal r.,40.40210780478213,Bakı,49.85758781433109,3027794,17 Noyabr 2022 ,,
6031,Yeni tikili,10 / 15,110 m²,2,var,120000,AZN,"Neftçilər m.,Nizami r.,8-ci kilometr q.",40.40554735588255,Bakı,49.87506508827209,3027795,04 Dekabr 2022 ,yoxdur,var
6032,Yeni tikili,18 / 19,130 m²,3,var,189900,AZN,"Nəriman Nərimanov m.,Nərimanov r.",40.39989258617802,Bakı,49.83979431395813,3027796,03 Noyabr 2022 ,,
6033,Yeni tikili,15 / 16,60 m²,2,,215000,AZN,"Zoopark ,Nərimanov r.",40.39290757169849,Bakı,49.84891891479492,3027799,03 Noyabr 2022 ,,
6034,Yeni tikili,8 / 15,120 m²,3,var,145000,AZN,"Neftçilər m.,Nizami r.",40.39045008382347,Bakı,49.830508675731,3027800,03 Noyabr 2022 ,var,var
6035,Yeni tikili,11 / 16,120 m²,3,yoxdur,195000,AZN,"Təhsil Nazirliyi ,Nərimanov r.",40.40165027405231,Bakı,49.86080646514893,3027801,03 Noyabr 2022 ,,
